method,mechanism,dataset,missing_rate,n_imputations,param,mean_bias,mean_perc_bias,mean_cov_rate,mean_ci_width,mean_fmi,mean_runtime,total_reps
CART,MCAR,large,0.2,10,x1,-0.0562315820320669,-18.743860677355638,0.921,0.19182530215639498,0.2644400080515006,0.2929345881938934,500.0
CART,MCAR,large,0.2,10,x2,-0.018730843574315398,-6.243614524771816,1.0,0.2080203456904519,0.3001017512183486,0.2929345881938934,500.0
CART,MCAR,large,0.2,10,x3,0.0420937081861531,21.04685409307657,0.999,0.22985061209919866,0.24240388742749786,0.2929345881938934,500.0
CART,MCAR,large,0.2,10,z,-0.02782204451218525,-11.128817804874117,1.0,0.3062079850585137,0.2320345380328092,0.2929345881938934,500.0
CART,MCAR,large,0.2,20,I(x1 * x2),-0.09609133989554444,-8.00761165796204,0.6579999999999999,0.21731335800466683,0.3575353966825394,0.5824272174835206,500.0
CART,MCAR,large,0.2,20,I(x2 ** 2),0.03794770123787965,7.58954024757594,0.945,0.19065957485840307,0.3738490133046057,0.5824272174835206,500.0
CART,MCAR,large,0.2,20,I(x3 * z),-0.019969829828169097,-6.656609942723053,1.0,0.3066218914046815,0.24464425060732206,0.5824272174835206,500.0
CART,MCAR,large,0.2,20,x1,-0.056082503868071246,-18.694167956023755,0.937,0.19108237513447515,0.26363001270973463,0.5824272174835206,500.0
CART,MCAR,large,0.2,20,x2,-0.019056076171704302,-6.3520253905681185,1.0,0.2066204545954754,0.2959949942409615,0.5824272174835206,500.0
CART,MCAR,large,0.2,20,x3,0.0424088228467242,21.204411423362124,1.0,0.2293647998055386,0.24268238327441943,0.5824272174835206,500.0
CART,MCAR,large,0.2,20,z,-0.0280032283702682,-11.201291348107294,1.0,0.3050039521109129,0.22908371926969714,0.5824272174835206,500.0
CART,MCAR,large,0.3,10,I(x1 * x2),-0.1313316679354837,-10.94430566129031,0.46099999999999997,0.2520604424262869,0.4650086591163013,0.31462888622283935,500.0
CART,MCAR,large,0.3,10,I(x2 ** 2),0.048768274847736895,9.753654969547382,0.898,0.22273411642569446,0.4814237257179026,0.31462888622283935,500.0
CART,MCAR,large,0.3,10,I(x3 * z),-0.05080202451599425,-16.9340081719981,0.996,0.3408164360715472,0.32853267145850534,0.31462888622283935,500.0
CART,MCAR,large,0.3,10,x1,-0.058341356605122144,-19.447118868374062,0.919,0.21451510486823466,0.3556857037515633,0.31462888622283935,500.0
CART,MCAR,large,0.3,10,x2,-0.0192784344240939,-6.426144808031305,0.988,0.23494623041696974,0.39741330209012293,0.31462888622283935,500.0
CART,MCAR,large,0.3,10,x3,0.04326561454180025,21.632807270900155,0.998,0.25356201808052037,0.31973540671209805,0.31462888622283935,500.0
CART,MCAR,large,0.3,10,z,-0.04865509374202885,-19.462037496811554,0.993,0.3392423129046467,0.315587075703608,0.31462888622283935,500.0
CART,MCAR,large,0.3,20,I(x1 * x2),-0.1304545264941655,-10.871210541180464,0.469,0.2513727457167052,0.47230006074757114,0.5461712400913239,500.0
CART,MCAR,large,0.3,20,I(x2 ** 2),0.0483529532719066,9.670590654381325,0.915,0.2209705267493233,0.48488558165955054,0.5461712400913239,500.0
CART,MCAR,large,0.3,20,I(x3 * z),-0.0517086856297531,-17.23622854325104,0.996,0.3380923168796189,0.3241814107558446,0.5461712400913239,500.0
CART,MCAR,large,0.3,20,x1,-0.0576960713896908,-19.232023796563606,0.926,0.21345279506316361,0.35664624999054895,0.5461712400913239,500.0
CART,MCAR,large,0.3,20,x2,-0.019449225450064153,-6.483075150021392,0.991,0.23271526722176486,0.3941852259232951,0.5461712400913239,500.0
CART,MCAR,large,0.3,20,x3,0.0440797098739659,22.03985493698298,0.995,0.2518488330202492,0.3169953099337766,0.5461712400913239,500.0
CART,MCAR,large,0.3,20,z,-0.048903463189211,-19.561385275684408,0.996,0.3366729504288538,0.3112245651486781,0.5461712400913239,500.0
CART,MCAR,large,0.5,10,I(x1 * x2),-0.23389348338905766,-19.49112361575481,0.188,0.34582357320830925,0.6435101440707158,0.3003186650276184,500.0
CART,MCAR,large,0.5,10,I(x2 ** 2),0.0781655067127192,15.63310134254385,0.858,0.30557438485322974,0.6546993354511755,0.3003186650276184,500.0
CART,MCAR,large,0.5,10,I(x3 * z),-0.10599282549183325,-35.33094183061111,0.949,0.40988299967802133,0.4331250045058725,0.3003186650276184,500.0
CART,MCAR,large,0.5,10,x1,-0.06321299191669964,-21.07099730556656,0.913,0.2767960568320529,0.5186804236422432,0.3003186650276184,500.0
CART,MCAR,large,0.5,10,x2,-0.0133128589124597,-4.437619637486568,0.979,0.30274362656133313,0.5499382258052001,0.3003186650276184,500.0
CART,MCAR,large,0.5,10,x3,0.04052787835347285,20.26393917673645,0.997,0.3058635295960134,0.4280042364418867,0.3003186650276184,500.0
CART,MCAR,large,0.5,10,z,-0.0959386545576684,-38.3754618230674,0.971,0.40960413746206475,0.4257359924945956,0.3003186650276184,500.0
CART,MCAR,large,0.5,20,I(x1 * x2),-0.23413479315225083,-19.511232762687573,0.16999999999999998,0.34344028254062275,0.6518701913522216,0.6472180032730103,500.0
CART,MCAR,large,0.5,20,I(x2 ** 2),0.0779761452631853,15.595229052637073,0.871,0.3019974402487384,0.6596219941544713,0.6472180032730103,500.0
CART,MCAR,large,0.5,20,I(x3 * z),-0.10656980139959095,-35.52326713319701,0.959,0.4083181972869227,0.43682123707515597,0.6472180032730103,500.0
CART,MCAR,large,0.5,20,x1,-0.0623378785244793,-20.779292841493106,0.93,0.276161398853099,0.5283670578775362,0.6472180032730103,500.0
CART,MCAR,large,0.5,20,x2,-0.01419039799692805,-4.730132665642692,0.987,0.3026463215822611,0.5600477896822982,0.6472180032730103,500.0
